Test_Eligibility,Users_Visit_Site,Users_Visit_Homepage,Delivery_Eligible,Users_View_Banner,Users_Click_Banner,Users_redeemed,account_tenure,platform,age,income,Converted,Orders,Delivery_Orders,Non_Click_View
Control,0,0,0,0,0,0,170,Web,60,100000,0,0,0,0
Control,1,1,1,0,0,0,44,App,44,75000,0,0,0,0
Control,1,1,0,0,0,0,69,Web,46,50000,1,0,0,0
Test,1,1,1,0,0,0,150,App,48,25000,0,0,0,0
Test,1,1,1,1,0,0,151,App,31,75000,0,0,0,1
Test,1,1,0,0,0,0,60,Web,38,100000,0,0,0,0
Test,1,1,1,1,0,0,180,App,55,100000,0,0,0,1
Test,1,0,0,0,0,0,65,App,50,50000,0,0,0,0
Test,1,1,1,1,0,0,115,App,62,25000,0,0,0,1
Control,1,1,1,0,0,0,14,Web,42,100000,0,0,0,0
Test,1,1,1,1,1,0,158,App,60,50000,0,0,0,0
Test,0,0,0,0,0,0,102,App,40,125000,0,8,2,0
Control,1,1,0,0,0,0,78,Web,57,50000,0,0,0,0
Test,0,0,0,0,0,0,10,Web,36,100000,0,0,0,0
Control,0,0,0,0,0,0,86,Web,49,25000,0,5,3,0
Test,1,0,0,0,0,0,115,Web,45,75000,0,0,0,0
Control,0,0,0,0,0,0,159,Web,53,100000,0,0,0,0
Control,0,0,0,0,0,0,42,Web,24,50000,0,0,0,0
Test,1,0,0,0,1,0,57,Web,23,25000,0,7,1,0
Test,0,0,0,0,0,0,51,Web,66,100000,0,0,0,0
Control,1,1,1,0,0,0,73,Web,36,50000,0,0,0,0
Control,1,1,1,0,0,0,8,Web,41,75000,0,0,0,0
Control,1,1,0,0,0,0,102,Web,46,100000,0,0,0,0
Control,1,1,1,0,0,0,80,App,59,75000,0,0,0,0
Test,1,1,1,1,0,1,120,Web,60,50000,0,6,2,1
Test,0,0,0,0,0,0,59,App,61,75000,0,0,0,0
Test,0,0,0,0,0,0,161,App,53,50000,0,6,2,0
Control,1,1,0,0,0,0,171,App,18,75000,0,0,0,0
Control,1,0,0,0,0,0,113,Web,19,25000,0,3,0,0
Test,0,0,0,0,0,0,130,Web,18,125000,1,5,1,0
Test,1,1,0,0,0,0,83,App,47,75000,0,0,0,0
Test,0,0,0,0,0,0,74,Web,44,125000,0,0,0,0
Test,1,1,0,0,0,0,142,Web,59,25000,0,0,0,0
Control,0,0,0,0,0,0,93,Web,32,100000,0,0,0,0
Control,1,1,0,0,0,0,98,Web,30,75000,0,0,0,0
Control,0,0,0,0,0,0,31,App,52,100000,0,0,0,0
Test,0,0,0,0,0,0,80,App,34,25000,0,6,4,0
Test,0,0,0,0,0,0,50,App,20,25000,0,0,0,0
Control,1,0,0,0,0,0,31,App,29,50000,0,0,0,0
Control,0,0,0,0,0,0,27,Web,53,25000,0,0,0,0
Control,1,1,1,0,0,0,176,App,61,125000,0,0,0,0
Control,1,1,1,0,0,0,166,App,23,75000,0,0,0,0
Test,1,1,1,0,0,0,151,App,41,75000,1,0,0,0
Control,1,1,1,0,0,0,35,App,40,25000,0,0,0,0
Test,0,0,0,0,1,0,77,Web,48,50000,0,0,0,0
Test,1,1,1,0,0,0,94,App,18,50000,0,0,0,0
Test,0,0,0,0,0,0,146,Web,66,100000,0,0,0,0
Test,1,0,0,0,0,0,38,App,62,50000,0,4,3,0
Control,1,1,0,0,0,0,121,App,59,75000,0,0,0,0
Test,0,0,0,0,1,0,174,Web,38,75000,0,0,0,0
Control,1,1,1,0,0,0,24,Web,28,100000,0,0,0,0
Control,1,1,1,0,0,0,147,App,54,25000,0,0,0,0
Test,1,0,0,0,1,0,27,App,40,50000,0,7,2,0
Test,1,1,0,0,0,0,45,App,42,75000,0,0,0,0
Control,1,1,1,0,0,0,139,Web,41,75000,0,0,0,0
Test,1,0,0,0,0,0,101,App,44,25000,0,0,0,0
Test,0,0,0,0,0,0,137,App,50,50000,0,0,0,0
Test,1,1,1,1,1,0,86,App,66,100000,0,0,0,0
Test,1,1,1,1,1,0,17,Web,59,50000,0,0,0,0
Control,1,1,0,0,0,0,156,Web,67,25000,0,0,0,0
Control,1,1,1,0,0,0,96,Web,54,75000,0,0,0,0
Control,1,1,1,0,0,0,47,Web,30,75000,0,0,0,0
Control,1,1,1,0,0,0,112,Web,64,75000,0,0,0,0
Control,1,1,1,0,0,0,31,App,65,50000,0,0,0,0
Test,0,0,0,0,0,0,40,App,70,50000,0,0,0,0
Control,1,1,0,0,0,0,32,App,23,50000,0,0,0,0
Control,1,1,0,0,0,0,132,App,31,50000,0,0,0,0
Control,1,1,1,0,0,0,131,Web,48,50000,0,0,0,0
Control,1,1,1,0,0,0,33,Web,47,125000,0,2,7,0
Test,1,1,1,1,0,0,96,Web,38,50000,0,0,0,1
Test,1,1,0,0,0,0,27,Web,41,25000,0,0,0,0
Test,1,1,1,1,0,0,163,Web,66,75000,0,0,0,1
Test,1,1,1,1,0,0,12,Web,26,75000,0,0,0,1
Control,1,1,0,0,0,0,111,App,31,100000,0,6,4,0
Control,0,0,0,0,0,0,76,Web,33,50000,0,0,0,0
Test,0,0,0,0,0,0,19,App,56,75000,0,0,0,0
Control,1,1,0,0,0,0,125,Web,32,75000,0,0,0,0
Test,1,1,1,0,1,0,28,App,32,75000,0,0,0,0
Test,1,1,1,1,1,0,15,App,42,75000,0,0,0,0
Test,1,1,1,1,1,0,162,Web,28,25000,1,8,3,0
Test,1,1,1,0,0,0,134,App,27,25000,0,4,2,0
Control,1,1,0,0,0,0,6,Web,33,50000,0,0,0,0
Test,1,1,0,0,0,0,39,Web,31,25000,0,0,0,0
Control,1,1,1,0,0,0,43,Web,64,75000,0,0,0,0
Control,1,0,0,0,0,0,139,Web,37,50000,0,0,0,0
Test,1,1,1,1,0,0,164,Web,19,75000,1,0,0,1
Control,0,0,0,0,0,0,46,Web,40,50000,0,0,0,0
Control,1,1,1,0,0,0,82,App,67,25000,0,3,4,0
Test,1,1,1,0,0,0,14,Web,48,25000,0,0,0,0
Test,1,0,0,0,0,0,61,Web,30,100000,0,0,0,0
Test,1,1,1,1,0,0,144,Web,66,25000,0,0,0,1
Test,1,1,0,0,0,0,8,Web,29,100000,0,0,0,0
Test,1,0,0,0,0,0,16,App,29,100000,0,0,0,0
Control,1,1,1,0,0,0,164,App,64,25000,0,0,0,0
Control,1,1,1,0,0,0,130,Web,70,50000,0,0,0,0
Test,1,1,1,1,0,0,63,App,48,100000,0,0,0,1
Test,1,1,1,1,1,0,143,Web,29,50000,0,0,0,0
Control,1,1,1,0,0,0,95,App,47,125000,0,0,0,0
Test,1,1,1,1,0,0,136,App,22,75000,0,0,0,1
Test,1,1,0,0,1,0,57,Web,55,100000,1,0,0,0
Test,1,1,1,1,0,0,60,Web,47,125000,0,0,0,1
Control,1,1,1,0,0,0,107,Web,46,100000,0,0,0,0
Test,1,1,0,0,0,0,28,App,51,75000,1,3,7,0
Control,1,1,1,0,0,0,24,Web,54,100000,0,0,0,0
Control,0,0,0,0,0,0,147,Web,22,50000,0,0,0,0
Test,1,1,1,1,0,0,84,App,48,25000,0,0,0,1
Control,1,1,1,0,0,0,116,Web,23,25000,0,0,0,0
Test,1,0,0,0,0,0,17,App,20,75000,0,2,0,0
Control,1,1,1,0,0,0,69,App,68,25000,0,0,0,0
Control,1,1,1,0,0,0,39,App,70,50000,0,0,0,0
Control,1,1,1,0,0,0,23,App,64,75000,0,0,0,0
Test,0,0,0,0,0,0,105,App,65,75000,0,0,0,0
Control,0,0,0,0,0,0,19,Web,35,75000,0,0,0,0
Test,1,1,1,0,0,0,26,App,58,25000,0,7,3,0
Test,1,1,0,0,1,0,141,App,20,50000,0,0,0,0
Test,1,1,1,1,1,0,179,App,18,50000,0,0,0,0
Control,0,0,0,0,0,0,33,App,34,50000,0,0,0,0
Control,1,1,0,0,0,0,111,App,48,100000,0,1,1,0
Test,1,1,1,1,0,1,109,Web,46,50000,0,0,0,1
Control,1,1,0,0,0,0,160,App,56,25000,0,0,0,0
Test,1,1,0,0,0,0,6,Web,46,50000,0,4,0,0
Control,1,1,1,0,0,0,17,App,29,50000,0,0,0,0
Test,1,1,0,0,0,0,59,Web,50,125000,0,0,0,0
Control,1,1,1,0,0,0,131,App,54,50000,0,0,0,0
Test,1,1,0,0,0,0,27,Web,69,50000,0,4,3,0
Control,0,0,0,0,0,0,150,Web,68,75000,0,0,0,0
Test,1,1,1,1,0,0,60,App,21,75000,0,0,0,1
Test,1,1,1,1,0,0,133,App,40,75000,0,0,0,1
Test,1,0,0,0,1,0,115,Web,53,25000,0,0,0,0
Control,0,0,0,0,0,0,64,Web,22,125000,0,0,0,0
Control,1,1,1,0,0,0,165,App,66,75000,0,0,0,0
Test,1,1,1,1,0,1,97,Web,34,75000,0,0,0,1
Control,1,1,1,0,0,0,132,Web,70,75000,0,0,0,0
Control,1,1,1,0,0,0,109,App,28,100000,0,6,2,0
Control,1,1,1,0,0,0,20,Web,26,75000,0,0,0,0
Control,1,0,0,0,0,0,28,App,52,50000,0,0,0,0
Test,1,1,1,1,0,0,167,Web,67,125000,0,0,0,1
Test,1,0,0,0,0,0,13,Web,32,25000,0,0,0,0
Control,0,0,0,0,0,0,101,Web,44,125000,0,0,0,0
Control,1,1,0,0,0,0,174,Web,42,75000,0,4,1,0
Control,1,1,1,0,0,0,175,App,51,50000,0,0,0,0
Test,1,1,1,1,0,1,95,App,35,25000,0,7,8,1
Test,1,1,1,1,1,0,108,Web,42,100000,0,0,0,0
Control,1,0,0,0,0,0,165,Web,34,50000,0,0,0,0
Control,1,1,1,0,0,0,99,App,36,25000,0,0,0,0
Control,1,1,1,0,0,0,147,Web,49,50000,0,0,0,0
Control,1,1,1,0,0,0,127,Web,56,50000,0,0,0,0
Control,1,1,1,0,0,0,114,App,22,75000,0,0,0,0
Test,1,1,1,1,0,0,83,App,37,50000,1,0,0,1
Test,1,0,0,0,1,0,107,Web,58,25000,0,0,0,0
Control,1,1,0,0,0,0,82,App,31,50000,0,0,0,0
Control,1,1,1,0,0,0,31,App,55,25000,0,0,0,0
Test,1,0,0,0,0,0,178,App,38,75000,0,0,0,0
Test,1,1,1,1,1,0,8,App,52,100000,0,0,0,0
Control,1,1,1,0,0,0,27,App,41,100000,0,0,0,0
Test,1,1,1,1,0,0,169,App,55,25000,0,0,0,1
Test,1,1,0,0,0,0,126,App,32,50000,0,5,9,0
Control,0,0,0,0,0,0,34,App,28,100000,0,0,0,0
Control,1,1,1,0,0,0,37,Web,39,100000,0,0,0,0
Control,1,1,1,0,0,0,66,Web,68,75000,0,0,0,0
Test,0,0,0,0,0,0,117,Web,37,50000,0,0,0,0
Control,0,0,0,0,0,0,88,App,58,75000,0,0,0,0
Test,1,0,0,0,0,0,55,Web,19,75000,0,0,0,0
Test,1,1,1,0,0,0,75,App,50,50000,0,0,0,0
Control,0,0,0,0,0,0,1,Web,38,25000,0,0,0,0
Control,1,1,0,0,0,0,64,App,22,100000,0,7,0,0
Control,0,0,0,0,0,0,125,Web,36,25000,0,0,0,0
Control,0,0,0,0,0,0,55,App,27,50000,0,0,0,0
Control,1,0,0,0,0,0,11,Web,40,25000,0,0,0,0
Test,0,0,0,0,0,0,135,App,40,50000,0,0,0,0
Test,1,1,1,0,0,0,114,App,45,50000,0,0,0,0
Test,1,1,1,1,0,0,178,Web,55,25000,0,0,0,1
Test,1,1,0,0,0,0,2,Web,26,25000,0,0,0,0
Control,1,1,1,0,0,0,126,App,26,75000,0,0,0,0
Test,1,1,1,1,0,0,171,App,21,75000,0,0,0,1
Control,1,1,1,0,0,0,133,Web,37,100000,0,0,0,0
Control,0,0,0,0,0,0,180,Web,57,125000,0,0,0,0
Control,1,1,1,0,0,0,96,Web,20,50000,0,0,0,0
Control,1,1,0,0,0,0,105,Web,40,100000,0,0,0,0
Control,1,1,0,0,0,0,38,Web,22,100000,0,0,0,0
Test,0,0,0,0,0,0,117,Web,28,25000,0,0,0,0
Test,1,1,0,0,0,0,35,App,59,100000,0,0,0,0
Control,0,0,0,0,0,0,105,Web,62,75000,0,0,0,0
Test,1,0,0,0,0,0,69,Web,66,100000,0,0,0,0
Test,1,0,0,0,0,0,103,App,41,50000,0,3,6,0
Control,0,0,0,0,0,0,125,Web,45,50000,0,0,0,0
Test,1,0,0,0,0,0,55,App,19,75000,0,0,0,0
Control,1,1,0,0,0,0,36,App,45,75000,1,0,0,0
Control,0,0,0,0,0,0,115,App,18,75000,0,0,0,0
Control,1,1,0,0,0,0,111,Web,48,125000,0,0,0,0
Test,1,1,1,1,1,1,137,App,56,75000,0,0,0,0
Test,0,0,0,0,0,0,106,App,35,25000,0,0,0,0
Control,1,1,1,0,0,0,134,App,25,75000,0,5,6,0
Test,0,0,0,0,1,0,39,App,46,100000,0,0,0,0
Control,1,1,1,0,0,0,93,App,19,50000,0,0,0,0
Control,1,1,1,0,0,0,115,Web,61,100000,0,0,0,0
Control,1,1,1,0,0,0,93,App,48,50000,0,0,0,0
Test,0,0,0,0,0,0,154,App,48,100000,0,0,0,0
Test,1,1,0,0,0,0,17,Web,62,125000,1,0,0,0
Control,1,1,1,0,0,0,22,App,61,100000,0,0,0,0
Test,1,1,1,0,1,0,88,Web,60,25000,0,0,0,0
Test,1,1,1,1,1,0,8,App,21,50000,0,0,0,0
Control,1,1,1,0,0,0,114,Web,70,100000,0,0,0,0
Control,0,0,0,0,0,0,143,App,41,25000,0,0,0,0
Control,1,1,1,0,0,0,105,Web,38,25000,0,0,0,0
Control,0,0,0,0,0,0,153,Web,56,50000,0,0,0,0
Test,1,1,1,1,0,1,133,Web,35,75000,0,0,0,1
Control,1,1,1,0,0,0,93,App,66,50000,0,0,0,0
Control,1,1,0,0,0,0,179,Web,70,50000,0,0,0,0
Test,1,1,1,1,0,0,47,Web,54,50000,0,0,0,1
Control,1,1,0,0,0,0,122,Web,43,50000,0,0,0,0
Control,0,0,0,0,0,0,117,Web,23,75000,0,0,0,0
Control,1,1,0,0,0,0,60,App,28,100000,0,0,0,0
Control,1,1,0,0,0,0,10,Web,40,50000,0,0,0,0
Control,1,1,0,0,0,0,160,App,57,75000,0,0,0,0
Test,1,1,0,0,0,0,156,App,56,75000,0,0,0,0
Test,0,0,0,0,0,0,5,Web,69,25000,0,1,4,0
Control,1,1,1,0,0,0,56,App,27,25000,0,0,0,0
Control,0,0,0,0,0,0,42,App,69,75000,0,0,0,0
Control,1,1,0,0,0,0,36,Web,63,75000,0,0,0,0
Control,1,1,1,0,0,0,54,App,30,100000,0,0,0,0
Control,0,0,0,0,0,0,154,Web,50,50000,0,0,0,0
Control,1,1,0,0,0,0,132,App,50,75000,1,0,0,0
Control,1,1,1,0,0,0,136,App,22,75000,0,0,0,0
Control,1,1,1,0,0,0,151,Web,67,25000,0,0,0,0
Control,1,1,1,0,0,0,133,Web,60,25000,0,0,0,0
Control,1,1,1,0,0,0,73,Web,51,50000,0,0,0,0
Control,1,1,1,0,0,0,176,Web,26,25000,0,0,0,0
Test,1,1,1,1,0,0,109,Web,33,100000,0,0,0,1
Test,1,1,0,0,0,0,11,App,18,25000,0,0,0,0
Test,0,0,0,0,0,0,69,App,44,75000,0,0,0,0
Control,1,1,1,0,0,0,158,Web,39,100000,1,0,0,0
Test,0,0,0,0,0,0,132,Web,63,75000,0,0,0,0
Test,1,1,1,1,0,0,68,Web,42,50000,1,0,0,1
Control,1,1,1,0,0,0,38,App,20,50000,0,0,0,0
Test,1,1,1,1,0,1,10,App,38,75000,0,0,0,1
Control,1,1,1,0,0,0,30,Web,24,75000,0,0,0,0
Test,0,0,0,0,0,0,70,App,62,75000,0,0,0,0
Test,0,0,0,0,1,0,176,App,50,25000,0,0,0,0
Control,0,0,0,0,0,0,97,Web,32,25000,0,0,0,0
Test,1,1,0,0,0,0,72,Web,37,75000,0,5,2,0
Test,0,0,0,0,0,0,108,App,57,100000,0,0,0,0
Control,1,1,1,0,0,0,87,App,63,100000,0,0,0,0
Control,1,1,1,0,0,0,40,App,28,75000,0,0,0,0
Test,0,0,0,0,0,0,69,App,46,25000,0,0,0,0
Control,1,1,1,0,0,0,11,Web,54,100000,0,0,0,0
Test,1,1,1,1,0,1,87,App,47,50000,0,0,0,1
Test,1,1,1,1,0,1,105,App,30,50000,0,0,0,1
Control,0,0,0,0,0,0,117,App,21,125000,0,0,0,0
Control,1,1,1,0,0,0,13,Web,44,100000,0,0,0,0
Control,1,1,0,0,0,0,45,Web,57,25000,1,0,0,0
Control,1,1,1,0,0,0,67,App,23,25000,0,0,0,0
Control,1,1,1,0,0,0,76,App,70,50000,0,0,0,0
Control,1,1,1,0,0,0,168,App,20,75000,0,0,0,0
Test,1,1,1,0,0,0,123,App,59,75000,0,7,7,0
Control,1,1,1,0,0,0,25,App,54,100000,0,0,0,0
Test,1,1,1,1,1,0,140,Web,44,25000,0,5,7,0
Test,1,1,0,0,1,0,2,Web,53,100000,0,0,0,0
Test,1,1,0,0,0,0,149,Web,30,50000,0,0,0,0
Test,0,0,0,0,1,0,30,Web,29,50000,0,0,0,0
Control,1,1,1,0,0,0,170,Web,30,75000,0,0,0,0
Control,1,1,0,0,0,0,7,App,23,25000,0,0,0,0
Control,0,0,0,0,0,0,142,Web,25,25000,0,0,0,0
Test,1,1,1,1,1,0,179,App,18,25000,0,0,0,0
Test,1,1,0,0,0,0,141,Web,66,125000,0,0,0,0
Test,1,1,0,0,0,0,63,Web,54,25000,0,0,0,0
Test,1,0,0,0,0,0,159,App,65,50000,0,0,0,0
Control,1,1,1,0,0,0,30,App,23,25000,0,0,0,0
Control,0,0,0,0,0,0,53,App,67,100000,0,0,0,0
Control,1,1,1,0,0,0,82,App,44,75000,0,0,0,0
Test,1,1,1,1,0,0,172,App,64,25000,0,0,0,1
Control,0,0,0,0,0,0,165,App,53,25000,0,0,0,0
Control,1,0,0,0,0,0,47,Web,52,50000,0,0,0,0
Control,1,1,0,0,0,0,78,App,61,50000,0,0,0,0
Control,1,1,1,0,0,0,124,Web,33,75000,0,0,0,0
Test,1,1,1,1,0,0,141,Web,47,50000,0,0,0,1
Test,1,1,1,1,0,0,10,Web,35,75000,0,0,0,1
Test,1,1,1,1,0,1,16,Web,49,75000,0,0,0,1
Control,0,0,0,0,0,0,42,App,60,25000,0,0,0,0
Test,1,1,1,1,0,0,76,App,25,100000,0,0,0,1
Test,1,1,1,1,1,0,18,Web,55,25000,0,0,0,0
Test,1,1,1,1,1,0,14,App,60,50000,0,0,0,0
Test,1,1,1,1,1,0,132,App,50,50000,0,0,0,0
Control,1,1,1,0,0,0,78,App,21,50000,0,0,0,0
Control,1,1,1,0,0,0,132,App,63,25000,0,0,0,0
Test,1,1,0,0,0,0,63,App,23,50000,0,0,0,0
Test,0,0,0,0,0,0,64,App,30,100000,0,0,0,0
Test,0,0,0,0,1,0,7,Web,62,50000,0,0,0,0
Test,1,1,0,0,0,0,37,App,27,125000,0,0,0,0
Test,1,0,0,0,0,0,38,Web,54,50000,0,0,0,0
Test,1,1,1,1,0,0,122,App,31,25000,0,0,0,1
Test,1,1,0,0,0,0,174,App,59,25000,0,0,0,0
Control,1,1,0,0,0,0,126,App,56,50000,0,0,0,0
Control,1,1,1,0,0,0,133,App,61,25000,0,0,0,0
Test,1,1,1,1,1,0,11,App,68,100000,0,4,4,0
Test,1,1,1,1,0,0,135,App,32,75000,0,0,0,1
Control,1,1,1,0,0,0,3,Web,27,50000,0,0,0,0
Control,0,0,0,0,0,0,167,Web,25,50000,0,0,0,0
Control,1,1,1,0,0,0,172,App,50,50000,0,0,0,0
Control,1,1,0,0,0,0,110,App,34,75000,0,0,0,0
Test,0,0,0,0,0,0,128,Web,68,75000,0,0,0,0
Test,1,0,0,0,1,0,115,App,44,25000,0,0,0,0
Control,1,0,0,0,0,0,154,Web,52,75000,0,0,0,0
Test,1,1,1,0,0,0,2,Web,26,75000,0,0,0,0
Control,1,1,0,0,0,0,120,Web,61,75000,0,0,0,0
Control,1,0,0,0,0,0,32,App,67,50000,0,0,0,0
Control,1,1,1,0,0,0,67,Web,33,50000,0,0,0,0
Test,1,1,1,1,0,0,158,Web,47,50000,0,0,0,1
Control,1,1,1,0,0,0,39,Web,61,25000,0,7,3,0
Test,1,1,1,1,1,0,45,Web,63,125000,0,0,0,0
Control,1,1,1,0,0,0,99,App,53,100000,0,0,0,0
Control,1,1,0,0,0,0,70,App,68,75000,0,0,0,0
Test,1,1,0,0,0,0,66,Web,41,25000,0,0,0,0
Control,1,1,1,0,0,0,121,App,58,75000,0,0,0,0
Control,0,0,0,0,0,0,82,App,46,50000,0,0,0,0
Test,1,1,1,1,0,1,88,Web,49,25000,0,0,0,1
Test,1,1,0,0,0,0,86,Web,54,50000,0,0,0,0
Test,1,1,0,0,0,0,49,App,30,75000,0,0,0,0
Test,0,0,0,0,0,0,124,App,51,100000,0,5,2,0
Test,0,0,0,0,0,0,124,App,57,50000,0,7,5,0
Control,1,1,1,0,0,0,130,App,25,25000,0,0,0,0
Test,1,1,1,1,0,0,103,App,28,25000,0,5,3,1
Test,1,1,1,1,0,0,62,App,57,25000,0,0,0,1
Control,1,1,0,0,0,0,96,App,55,50000,0,0,0,0
Test,0,0,0,0,0,0,36,Web,45,100000,1,0,0,0
Control,1,1,1,0,0,0,125,App,43,75000,0,0,0,0
Test,1,1,0,0,0,0,90,Web,63,50000,0,0,0,0
Test,1,1,1,1,0,0,136,Web,52,25000,0,0,0,1
Control,0,0,0,0,0,0,154,App,53,50000,0,0,0,0
Control,1,1,1,0,0,0,88,Web,57,25000,0,0,0,0
Control,1,1,0,0,0,0,142,App,42,50000,0,0,0,0
Control,1,1,1,0,0,0,173,Web,25,25000,0,0,0,0
Control,1,1,0,0,0,0,67,Web,59,50000,0,0,0,0
Test,1,1,0,0,0,0,61,Web,61,100000,0,0,0,0
Test,0,0,0,0,0,0,90,Web,34,125000,0,0,0,0
Control,1,1,1,0,0,0,165,Web,60,50000,0,0,0,0
Control,1,1,1,0,0,0,4,Web,52,25000,0,0,0,0
Control,0,0,0,0,0,0,156,Web,70,100000,0,0,0,0
Test,1,1,1,1,0,1,17,Web,48,100000,0,0,0,1
Test,1,1,1,1,0,0,121,Web,27,75000,0,0,0,1
Control,1,1,1,0,0,0,125,App,33,100000,1,0,0,0
Test,0,0,0,0,0,0,128,Web,23,100000,0,0,0,0
Control,1,1,1,0,0,0,159,Web,23,50000,0,0,0,0
Control,1,1,1,0,0,0,88,Web,19,50000,0,0,0,0
Test,1,1,1,1,1,1,100,App,52,75000,0,0,0,0
Control,1,1,1,0,0,0,154,App,70,25000,0,0,0,0
Control,1,1,1,0,0,0,88,App,47,75000,0,0,0,0
Test,1,1,1,1,0,0,52,App,41,25000,0,0,0,1
Control,1,1,1,0,0,0,78,Web,59,75000,1,0,0,0
Control,1,1,1,0,0,0,129,Web,55,75000,0,0,0,0
Control,1,1,0,0,0,0,126,Web,51,25000,0,0,0,0
Test,1,1,1,1,0,0,165,App,35,50000,0,7,4,1
Control,1,1,1,0,0,0,133,Web,69,50000,0,0,0,0
Test,1,0,0,0,1,0,44,App,52,75000,0,0,0,0
Test,1,1,1,1,1,0,148,App,43,75000,0,6,4,0
Control,1,0,0,0,0,0,7,Web,68,25000,0,0,0,0
Test,1,1,1,1,0,0,3,App,30,75000,0,0,0,1
Test,1,1,1,1,0,0,140,Web,52,25000,0,0,0,1
Control,1,1,1,0,0,0,69,Web,54,75000,0,0,0,0
Control,1,1,0,0,0,0,178,Web,56,50000,0,5,1,0
Control,1,1,1,0,0,0,68,Web,31,75000,0,0,0,0
Control,1,1,1,0,0,0,4,App,25,50000,0,0,0,0
Test,1,0,0,0,0,0,67,Web,23,50000,0,0,0,0
Test,1,1,1,0,0,0,48,Web,18,75000,0,0,0,0
Test,1,1,0,0,0,0,170,Web,34,50000,0,0,0,0
Control,1,1,1,0,0,0,168,App,53,75000,0,0,0,0
Control,1,1,1,0,0,0,61,App,49,100000,0,0,0,0
Control,1,1,0,0,0,0,92,App,39,50000,0,0,0,0
Control,1,1,0,0,0,0,171,Web,35,125000,0,0,0,0
Test,1,1,1,1,1,0,59,Web,23,75000,0,0,0,0
Test,0,0,0,0,0,0,180,App,67,100000,0,0,0,0
